ID,Title,Price,Brand,Rating,Reviews,Material,Color,AssemblyNeeded,MadeIn,Warranty Days,Image,Category/Class
28457863,Sleeplanner 14-inch Twin XL Platform Easy Assembly Steel Bed Frameby Sleeplanner,97.99 EUR,Sleeplanner,4.7,156,Metal,Black,Yes,China,0,https://ak1.ostkcdn.com/images/products/is/images/direct/81c4f1c790d7efab2d06e45346839d61ecb0103e/Sleeplanner-14-inch-Twin-XL-Platform-Easy-Assembly-Steel-Bed-Frame.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
40002436,Priage by ZINUS Coffee Bean Bamboo and Metal Platform Bed Frameby Zinus,147.90 EUR,Zinus,4.6,11,Metal,Brown,Yes,China,1825,https://ak1.ostkcdn.com/images/products/is/images/direct/938783f4e40b0e51ccf34c76921d965297a2337e/Priage-by-ZINUS-Coffee-Bean-Bamboo-and-Metal-Platform-Bed-Frame.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
35167703,Suffolk Velvet Upholstered Jewel Accent Tufted Nailhead Panel Bedby Glory Furniture,214.15 EUR,Glory Furniture,4.6,87,Upholstered,"Black,
Blue,
Green,
Grey,
Pink,
Purple,
Red",Yes,Malaysia,30,https://ak1.ostkcdn.com/images/products/is/images/direct/af6de22e9ba0daac8f809cf5001164f3659c9fc6/Suffolk-Velvet-Nailhead-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
38159424,Morden Fort Queen-size Velvet Upholstered Platform Bed,302.72 EUR,No Info,4.7,71,"Upholstered,
Velvet,
Wood","Beige,
Black,
Blue,
Grey",Yes,China,90,https://ak1.ostkcdn.com/images/products/is/images/direct/6bfb3a794d2a11b57bcd8f8540358fa99de6d03f/Morden-Fort-Upholstered-Platform-Bed-Frame%2CVelvet%2CGrey%2CQueen.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
32606442,Brady Upholstered Tufted Wingback Panel Bed,304.26 EUR,No Info,4.4,308,Upholstered,"Blue,
Grey",Yes,Malaysia,0,https://ak1.ostkcdn.com/images/products/is/images/direct/df1371bd45a98133708082286ee9fe5256f2ec66/Brady-Upholstered-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
23965995,Best Quality Furniture Upholstered Button Tufted Panel Bed,162.38 EUR,No Info,4.3,357,"Upholstered,
Wood","Beige,
Black,
Blue,
Grey",Yes,China,30,https://ak1.ostkcdn.com/images/products/is/images/direct/db6eecb74a887001519c59f969dd4f65f64f8051/Best-Quality-Furniture-Upholstered-Button-Tufted-Panel-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
29762133,Priage by Zinus Deluxe Mid-century Wood Platform Bedby Zinus,338.21 EUR,Zinus,4.7,208,Wood,Brown,Yes,Vietnam,1825,https://ak1.ostkcdn.com/images/products/is/images/direct/2860ea78be33ae58c7a2aa77fdcae40e5e65c24b/Priage-by-Zinus-Deluxe-Mid-Century-Wood-Platform-Bed-with-Headboard.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
31749382,Hamilton Traditional Wood Murphy Bed Chest with Charging Stationby AFI,1502.28 EUR,AFI,4.3,115,Wood,"Brown,
Grey,
White",Yes,Vietnam,365,https://ak1.ostkcdn.com/images/products/is/images/direct/35cb0224c000838c6a2b8a5b18bb55e2760d48fd/Hamilton-Traditional-Wood-Murphy-Bed-Chest-with-Charging-Station.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
32088707,Priage by ZINUS Brown Wood Platform Bed Frame with Adjustable Headboardby Zinus,425.97 EUR,Zinus,4.5,167,Wood,Brown,Yes,Vietnam,1825,https://ak1.ostkcdn.com/images/products/is/images/direct/9cd87769095283d027b160c7020ffe66878488f8/Carbon-Loft-Sollano-Wood-Platform-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
33105708,Brentwood Queen Murphy Bedby RoomAndLoft,1878.98 EUR,RoomAndLoft,4.5,39,Wood,"Brown,
Grey,
White",Yes,Vietnam,365,https://ak1.ostkcdn.com/images/products/is/images/direct/d6aa24726c0634e750c24eb889cae76a4708790f/Brentwood-Queen-Murphy-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
